"Interested","Fseen","FlightsCount","EngType","PicY","Lat","InHg","AltT","TrkH","PosTime","TimeAdded","Cou","PicX","OpIcao","Dst","Vsi","Tag","Icao","Rcvr","Alt","Species","Year","WTC","Mdl","Bad","PosStale","HasPic","From","Call","Source","Sqk","SpdTyp","HasSig","Mlat","Trak","Type","CMsgs","CNum","Gnd","Id","TAlt","Cos","Trt","CallSus","Sat","Sig","OpCode","TTrk","Help","VsiT","Stops","ResetTrail","Op","TT","TSecs","GAlt","To","Tisb","IsTisb","Brng","Man","Engines","Cot","Spd","Mil","EngMount","Long","Reg"
"False","05/10/2018 13:15:59","0","3","0","53.357479","30","0","False","1538747287017","05/10/2018 14:48:22","United Kingdom","0","RAF","280","-128","","43C8D8","1","5050","1","2017","1","Embraer EMB-500 Phenom 100","False","False","False","","CWL31","military","4251","0","False","False","164","E50P","450","50000386","False","4442328","7616",,"5","False","False","0","","1","False","0",,"False","Royal Air Force","","1947","5071","","False","False","109","Embraer","2",,"253","True","0","-0.40132","ZM337"
"False","05/10/2018 13:15:54","0","2","0","52.81691","30","0","False","1538747280121","05/10/2018 14:48:22","United Kingdom","0","RAF","194","-192","","43C8F1","1","1225","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","SYS55","military","7422","0","False","False","175","EC35","56","2027","True","4442353","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","1952","1216","","False","False","144","Airbus Helicopters","2",,"71","True","0","-2.69104","ZM523"
"False","05/10/2018 13:12:30","0","0","0","51.088402","30","0","False","1538745276592","05/10/2018 14:48:22","United Kingdom","0","","375","-370","","43C5C5","1","5900","0","0","0","","False","True","False","","","military","2610","0","True","False","71","","553","","False","4441541","0",,"2","False","False","22","","0","False","0",,"False","","","2156","5921","","False","False","158","","0",,"170","True","0","-2.3956",""
"False","05/10/2018 13:08:12","0","3","0","54.046077","30","0","False","1538747280097","05/10/2018 14:48:22","United Kingdom","0","","82","9536","","43C555","1","16050","1","2009","2","British Aerospace Hawk T.2","False","False","False","","","military","6443","0","True","True","225","HAWK","250","RT009","False","4441429","0",,"2","False","False","109","","0","False","1",,"False","Royal Air Force","","2414","16071","","False","False","105","British Aerospace","1",,"364","True","0","-3.171818","ZK018"
"False","05/10/2018 12:53:41","0","3","514","53.150552","30","0","False","1538747053057","05/10/2018 14:48:22","United Kingdom","1024","","122","-192","","43C556","1","950","1","2008","2","British Aerospace Hawk T.2","False","True","True","","","military","6672","0","True","True","247","HAWK","933","RT010","False","4441430","0",,"2","False","False","10","","0","False","0",,"False","Royal Air Force","","3285","1000","","False","False","185","British Aerospace","1",,"41","True","0","-4.562881","ZK019"
"False","05/10/2018 12:45:43","0","1","0","51.983906","30","0","False","1538747274097","05/10/2018 14:48:22","United Kingdom","0","","251","0","","43EC55","1","5700","1","2013","1","Cirrus SR22T Platinum","False","False","False","","","military","3771","0","True","False","272","S22T","1170","0701","False","4451413","6016",,"2","False","False","17","","0","False","0",,"False","Private","","3762","5712","","False","False","184","Cirrus","1",,"156","True","0","-4.618182","2-RORO"
"False","05/10/2018 12:31:50","0","2","0","52.775986","30","0","False","1538747246543","05/10/2018 14:48:23","United Kingdom","0","RAF","195","-512","","43C8F8","1","1975","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","SYS85","military","7077","0","False","False","185","EC35","1374","2040","False","4442360","0",,"5","False","False","0","","0","False","1",,"False","Royal Air Force","","4595","1966","","False","False","146","Airbus Helicopters","2",,"104","True","0","-2.772369","ZM530"
"False","05/10/2018 12:28:56","0","3","0","52.075382","30","0","False","1538746215001","05/10/2018 14:48:23","United States","0","USAF","324","0","","AE145F","1","30000","1","2007","3","Boeing C-17A Globemaster III","False","True","False","","RCH173","military","6403","0","True","True","241","C17","1548","P161","False","11408479","0",,"2","False","False","57","","0","False","0",,"False","United States Air Force","","4769","30050","","False","False","137","Boeing","4",,"0","True","0","-1.134495","06-6161"
"False","05/10/2018 12:20:03","0","3","0","50.87009","30","0","False","1538747300197","05/10/2018 14:48:23","United States","0","USAF","375","0","","AE10BA","1","32000","1","0","3","Boeing C-17A Globemaster III","False","False","False","","RCH105","military","6401","0","False","False","249","C17","1733","P91","False","11407546","28000",,"5","False","False","0","","237","False","0",,"False","United States Air Force","","5303","32021","","False","False","183","Boeing","4",,"387","True","0","-4.66095","01-0191"
"False","05/10/2018 10:08:25","0","3","0","54.391216","30","0","False","1538747274848","05/10/2018 14:48:23","United Kingdom","0","RRR","208","0","","43C09D","1","41000","1","2002","2","Bombardier Global Express Sentinel R.1","False","False","False","","","military","4650","0","True","True","140","GLEX","5427","9131","False","4440221","0",,"2","False","False","187","","0","False","0",,"False","Royal Air Force","","13201","41050","","False","False","84","Bombardier","2",,"0","True","1","-1.190685","ZJ692"
