"Interested","Fseen","FlightsCount","EngType","PicY","Lat","InHg","AltT","TrkH","PosTime","TimeAdded","Cou","PicX","OpIcao","Dst","Vsi","Tag","Icao","Rcvr","Alt","Species","Year","WTC","Mdl","Bad","PosStale","HasPic","From","Call","Source","Sqk","SpdTyp","HasSig","Mlat","Trak","Type","CMsgs","CNum","Gnd","Id","TAlt","Cos","Trt","CallSus","Sat","Sig","OpCode","TTrk","Help","VsiT","Stops","ResetTrail","Op","TT","TSecs","GAlt","To","Tisb","IsTisb","Brng","Man","Engines","Cot","Spd","Mil","EngMount","Long","Reg"
"False","10/10/2018 20:06:56","0","2","0","51.4619","30","0","False","1539202137430","10/10/2018 21:09:05","United Kingdom","0","","361","0","","43C2B0","1","2700","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","218","PUMA","76","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","128","2499","","False","False","148","Aerospatiale","2",,"0","True","0","-1.6136","ZJ957"
"False","10/10/2018 20:07:43","0","2","0","51.4871","30","0","False","1539202176948","10/10/2018 21:09:54","United Kingdom","0","","360","0","","43C2B0","1","2700","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","55","PUMA","97","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","131","2499","","False","False","147","Aerospatiale","2",,"0","True","0","-1.5723","ZJ957"
"False","10/10/2018 20:06:56","0","2","0","51.5381","30","0","False","1539202291002","10/10/2018 21:11:38","United Kingdom","0","","358","0","","43C2B0","1","2700","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","38","PUMA","161","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","282","2514","","False","False","146","Aerospatiale","2",,"0","True","0","-1.49","ZJ957"
"False","10/10/2018 20:06:56","0","2","0","51.5487","30","0","False","1539202327936","10/10/2018 21:12:13","United Kingdom","0","","358","0","","43C2B0","1","2700","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","112","PUMA","181","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","316","2514","","False","False","146","Aerospatiale","2",,"0","True","0","-1.4637","ZJ957"
"False","10/10/2018 20:08:15","0","2","0","51.5381","30","0","False","1539202402436","10/10/2018 21:13:32","United Kingdom","0","","358","0","","43C2B0","1","2700","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","38","PUMA","155","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","316","2514","","False","False","146","Aerospatiale","2",,"0","True","0","-1.49","ZJ957"
"False","10/10/2018 20:06:57","0","2","0","51.6021","30","0","False","1539202437549","10/10/2018 21:14:18","United Kingdom","0","","356","0","","43C2B0","1","2275","4","0","1","Aerospatiale Puma SA.330 HC.2","False","False","False","","","military","3620","0","False","True","46","PUMA","249","1474","False","4440752","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","440","2060","","False","False","144","Aerospatiale","2",,"0","True","0","-1.3823","ZJ957"
"False","10/10/2018 20:46:56","0","2","0","52.1319","30","0","False","1539204625260","10/10/2018 21:50:27","United Kingdom","0","","402","0","","43C248","1","2700","4","0","2","AgustaWestland Apache AH.1","False","False","False","","","military","0","0","False","False","217","H64","25","WAH-14","False","4440648","0",,"2","False","False","0","","0","False","0",,"False","Army Air Corps","","211","2559","","False","False","124","AgustaWestland","2",,"0","True","0","0.5178","ZJ179"
"False","10/10/2018 20:53:08","0","2","0","52.776993","30","0","False","1539204789801","10/10/2018 21:53:21","United Kingdom","0","","200","0","","43C8E2","1","1200","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","","military","7000","0","False","False","0","EC35","2","2005","False","4442338","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","13","955","","False","False","144","Airbus Helicopters","2",,"0","True","0","-2.641754","ZM508"
"False","10/10/2018 20:53:28","0","2","0","52.776993","30","0","False","1539204808618","10/10/2018 21:53:41","United Kingdom","0","","200","0","","43C8E2","1","1200","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","","military","7000","0","False","False","0","EC35","2","2005","False","4442338","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","14","955","","False","False","144","Airbus Helicopters","2",,"0","True","0","-2.641754","ZM508"
"False","10/10/2018 20:53:09","0","2","0","52.768204","30","0","False","1539204869656","10/10/2018 21:55:22","United Kingdom","0","","202","0","","43C8E2","1","1300","4","2017","1","Airbus H135 Juno HT.1","False","False","False","","","military","7000","0","False","False","111","EC35","7","2005","False","4442338","0",,"2","False","False","0","","0","False","0",,"False","Royal Air Force","","132","1055","","False","False","143","Airbus Helicopters","2",,"0","True","0","-2.603531","ZM508"
