"Interested","Fseen","FlightsCount","EngType","PicY","Lat","InHg","AltT","TrkH","PosTime","TimeAdded","Cou","PicX","OpIcao","Dst","Vsi","Tag","Icao","Rcvr","Alt","Species","Year","WTC","Mdl","Bad","PosStale","HasPic","From","Call","Source","Sqk","SpdTyp","HasSig","Mlat","Trak","Type","CMsgs","CNum","Gnd","Id","TAlt","Cos","Trt","CallSus","Sat","Sig","OpCode","TTrk","Help","VsiT","Stops","ResetTrail","Op","TT","TSecs","GAlt","To","Tisb","IsTisb","Brng","Man","Engines","Cot","Spd","Mil","EngMount","Long","Reg"
"True","09/10/2018 22:19:47","0","2","0","51.4186","30","0","False","1539124006893","09/10/2018 23:26:52","United Kingdom","0","","324","0","LE","406343","1","1975","4","2010","1","Eurocopter EC135 P2+","False","False","False","","","interesting","54","0","False","False","208","EC35","74","0887","False","4219715","0",,"2","False","False","0","","0","False","0",,"False","National Police Air Service","","422","2055","","False","False","165","Eurocopter","2",,"0","False","0","-3.1599","G-NWOI"
"True","09/10/2018 22:02:54","0","2","0","52.0179","30","0","False","1539123990642","09/10/2018 23:26:57","United Kingdom","0","","372","0","LE","4010AC","1","1325","4","2006","1","Eurocopter EC135 P2+","False","False","False","","UKP037","interesting","44","0","False","False","248","EC35","190","0524","False","4198572","0",,"2","False","False","0","","0","False","0",,"False","National Police Air Service","","1435","1464","","False","False","130","Eurocopter","2",,"0","False","0","-0.2302","G-EMID"
"True","09/10/2018 21:49:32","0","2","0","51.3264","30","0","False","1539124008757","09/10/2018 23:26:57","United Kingdom","0","","326","64","MAP","403BAB","1","4800","1","0","1","Reims-Cessna F406 Caravan II","False","False","False","","REV6AF","interesting","3610","0","False","False","219","F406","915","406-0018","False","4209579","0",,"2","True","False","0","","0","False","0",,"False","RVL Group","","2237","4850","","False","False","173","Reims-Cessna","2",,"192","False","0","-3.79","G-LEAF"
"True","09/10/2018 21:37:16","0","2","0","51.663","30","0","False","1539123995038","09/10/2018 23:26:57","United Kingdom","0","","397","0","LE","400F29","1","1725","4","2005","1","Eurocopter EC145 C-2","False","False","False","","GMPSB","interesting","43","0","True","True","273","EC45","632","9068","False","4198185","0",,"2","True","False","41","","0","False","0",,"False","National Police Air Service","","2973","1864","","False","False","134","Eurocopter","2",,"0","False","0","-0.2849","G-MPSB"
"True","09/10/2018 21:32:12","0","2","0","52.3307","30","0","False","1539124008746","09/10/2018 23:26:57","United Kingdom","0","","313","0","LE","4061E4","1","1700","4","2009","1","Eurocopter EC135 P2+","False","False","False","","P04","interesting","55","0","True","True","316","EC35","1102","0843","False","4219364","0",,"2","True","False","154","","0","False","0",,"False","National Police Air Service","","3278","1780","","False","False","131","Eurocopter","2",,"0","False","0","-0.9259","G-CPAO"
